Name,ID
Logan Junior Chef,265
Magnum,266
Dunkin' Donuts,267
Tom Douglas Restaurants,268
Raymond Blanc,269
Delverde,270
Claire Robinson,271
Francesco Sole,272
Ignacio Mattos,273
Domino's Pizza,274
Chef Charlie Palmer,275
KFC,276
Chef Rick Tramonto,277
On The Border,278
Nando's,279
Emmi CAFFÈ LATTE,280
Cindy Pawlcyn,281
Karen Martini,282
Angelo Sosa,283
Domino's Pizza,284
Shane Delia,285
Taste of London,286
Magnum,287
Tom Colicchio,288
Michel Nischan,289
Pablo Massey,290
Chef Ben Churchill,291
McDonald's,292
Chef Sheldon Simeon,293
Famous Dave's Bar-B-Que of America,294
foodpanda,295
KFC,296
McDonald's,297
Barbie Marshall,298
Cristian D'Elia,299
Kunal Kapur,300
hellofood,301
Chef G. Garvin,302
Magnum,303
Chili's Tunisie,304
Outback Steakhouse,305
Nando's,306
McDonald's,307
Opry City Stage,308
Chef Claudia's Cocina,309
Dunkin' Coffee,310
Domino's Australia,311
Duff Goldman,312
McDonald's,313
UMass Dining,314
McDonald's,315
McDonald's,316
Jacques Pépin,317
Telepizza Guatemala,318
KFC,319
Susur Lee,320
Eddie Jackson - FIT CHEF EDDIE,321
The Tuscan Gun,322
Enrique Olvera,323
Cesare Casella,324
Camille Becerra,325
Dairy Queen,326
McDonald's,327
McDonald's,328
Domino's Pizza,329
Jimmy John's,330
Bubba Gump Shrimp Co.,331
KFC,332
Niko Romito,333
Domino's Pizza,334
McDonald's,335
Magnum,336
Alberto Chicote,337
Dean Sheremet,338
Carrabba's Italian Grill,339
Eric Ripert,340
Dan Steph & Emmy,341
Sang Yoon,342
Hubert Keller,343
Iginio Massari,344
Chuck Hughes,345
Gino D'Acampo,346
McDonald's,347
McDonald's,348
Harold Dieterle,349
Chef Carla Hall,350
Ken Oringer,351
Alain Ducasse,352
Domino's Pizza Nigeria,353
Los Petersen Cocineros,354
Michael White,355
Sonia Peronaci,356
McDonald's,357
KFC,358
Hearth,359
Monti Carlo,360
Chef Ben Ford,361
Jumia Food,362
Jean-François Piège     -      Page Officielle,363
Colin Fassnidge,364
KFC,365
Michael Lomonaco,366
FONDA MEXICANA,367
Taste Of Paris Official,368
Chili's Qatar,369
Cucina by Wolfgang Puck,370
Carl's Jr.,371
Johnny Iuzzini,372
Chef Nina Compton,373
JW Café - JW Marriott Hotel Hanoi,374
Levi Eirinberg,375
Pierre Gagnaire,376
Alessandro Borghese,377
Chef Adrianne,378
Burger Lounge,379
Taco Bell Rep Dom,380
Luke Thomas,381
Domino's Pizza,382
Chef Michael Ferraro,383
Chef Michael Smith,384
Juan Mari Arzak (Página oficial),385
Josh Marks,386
Chope,387
Valentin Neraudeau,388
Emily Ellyn,389
Chope,390
Danny Smiles,391
Simon Bryant,392
foodpanda,393
Steve Konopelski,394
McDonald's,395
Veggie Grill,396
My Cupcake Addiction,397
KFC,398
Skinny Chef,399
Domino's Pizza,400
Mathieu Pacaud,401
Second Floor Cafe 貳樓餐飲,402
Christophe Bacquie,403
ChefAlexander,404
Pescaria,405
Chef Todd Mohr,406
Gemma Stafford,407
Paul Hollywood,408
The Edgy Veg,409
Noma,410
Chef Grace Ramirez,411
Papacho's,412
Harlem EatUp,413
麥當勞,414
KFC,415
Magnum,416
Princi,417
Chetna Makan,418
Melissa King,419
Delverde,420
McDonald's,421
DedeMed,422
KFC,423
McDonald's,424
Crystal Jade Singapore,425
Ranveer Brar,426
Jumia Food,427
McDonald's,428
Jumia Food,429
McDonald's,430
Hardee's Pakistan,431
Graham Elliot,432
Peter Kuruvita,433
Chef Mark Garcia,434
Ricardo Cuisine,435
Chef Andrew Gruel,436
Big Fish Seafood Bistro,437
Nando's,438
Donatella Arpaia,439
John Whaite,440
Domino's Pizza,441
Four Seasons Hotels and Resorts,442
Noëmie Honiat Top Chef,443
Roy's Restaurant,444
Marcel Vigneron,445
Virginia Willis,446
Pollo Campero Guatemala,447
McDonald's,448
Chef Pete Evans,449
Christian Bau,450
Nikki Dinki,451
Meriwether's,452
Sam Choy,453
Zac Kara,454
Dale Talde,455
Cook with Amber,456
McDonald's,457
Christine Ha,458
Chef Clément,459
Karlos Arguiñano,460
Emmi CAFFÈ LATTE,461
Chef Guy Martin,462
Emma Frisch,463
Cook with Chef Duminda,464
Doug Adams,465
KFC,466
KFC,467
PROPERCORN,468
Germán Martitegui,469
Pierre Sang Boyer Officiel,470
foodpanda,471
Marc Veyrat,472
Blue Ribbon Restaurants,473
Quique Dacosta,474
Steak 'n Shake,475
Christophe Adam,476
Dunkin' Donuts,477
Jumia Food,478
Chef Derrick Fox,479
McDonald's,480
Dina Nikolaou,481
Aliya LeeKong,482
Chick-fil-A,483
Andy Luotto,484
Taco Bell Cyprus,485
Jumia Food,486
McDonald's,487
McDonald's,488
Five Guys,489
RED Sushi and Hibachi Grill,490
McDonald's República Dominicana,491
Burger King México,492
Pedro Lambertini,493
KFC,494
Olive Garden México,495
Aquarium Restaurant - Nashville,496
Jumia Food,497
Dani García,498
Tom's Kitchen,499
Destino Ibiza,500
Nando's,501
Nando's,502
Magnum,503
McDonald's Deutschland Karriere,504
René Redzepi,505
Martha Collison,506
McDonald's,507
McDonald's,508
Suzanne Goin,509
Stephanie Izard,510
Angel Leon Gonzalez,511
Seasons 52,512
Lío,513
"Mary Nolan, Bon Appétit Executive Chef",514
McDonald's,515
Domino's Pizza,516
Guillaume Gomez,517
McDonald's,518
Thierry Rautureau,519
T-rex Cafe,520
Dunkin' Donuts,521
KFC,522
Burger King Malaysia,523
McDonald's,524
Taco Bell Kuwait,525
Paul Bocuse,526
Nando's,527
Wichcraft,528
Gaston Acurio,529
Relais & Châteaux,530
Spike Mendelsohn,531
McDonald's,532
Charley's Crab,533
Peohe's,534
Jumia Food,535
Bradley Ogden,536
The Habit Burger Grill,537
Bruno Barbieri,538
Wings,539
Chevys Fresh Mex,540
McDonald's,541
La Griglia,542
McDonald's,543
Chef Sam Talbot,544
Domino's Pizza,545
McDonald's,546
Nando's,547
Dunkin' Donuts,548
Maneet Chauhan,549
Bryce Shuman,550
McDonald's,551
YANNICK ALLENO OFFICIEL,552
Chef Jimmy Boswell,553
Chef Damaris Phillips,554
KFC,555
Dunkin' Donuts,556
Chef Maeve Rochford,557
Chef Rick Moonen,558
KFC,559
CAKE-BOY,560
Brew Bistro and Lounge,561
משה שגב / Moshe Segev,562
Donato De Santis,563
Outlander Kitchen,564
KFC,565
McDonald's,566
Ogro Jimmy,567
José Santaella,568
Roxanne Spruance,569
Kristen Kish,570
Bruno Oteiza,571
McDonald's,572
McDonald's,573
Emmi CAFFÈ LATTE,574
Chef Rubio,575
Susan Feniger,576
D'O - Davide Oldani,577
The French Laundry,578
McDonald's,579
Josh Elkin,580
Kevin Dundon,581
RIBS - True American Barbecue,582
Bonefish Grill,583
Julia Child,584
McDonald's,585
McDonald's,586
Eva Arguiñano,587
Thomas Keller,588
Five Guys,589
Norbert Tarayre,590
Nando's,591
Frantzén,592
Chef Richard Sandoval,593
Al Brown New Zealand Chef,594
McDonald's Japan,595
McDonald's,596
Aarón Sánchez,597
KFC,598
James Martin,599
Anis Nabilah,600
Chef Marc Murphy,601
McDonald's,602
Elizabeth Karmel,603
Chef Jamie DeRosa,604
foodpanda,605
Pollo Campero El Salvador,606
Chef Alex Levin,607
Pasqualino Barbasso,608
Domino's Pizza,609
Eduardo Palazuelos,610
Robin Miller,611
McDonald's,612
Domino's Pizza,613
Chef Diego Lozano,614
Chef Aaron McCargo Jr,615
John DeLucie,616
Samin Nosrat,617
Subway,618
KFC,619
