Name,ID,edge1,edge2
Alex French Guy Cooking,251,45,524
Nyesha Arrington,250,44,265
Dunkin' Donuts,249,43,39
Tom Aikens,248,43,67
Red Robin Gourmet Burgers,247,43,83
Bobby's Burger Palace,246,43,102
Ludo Lefebvre,245,43,229
Guy Savoy,244,43,253
Chef Brian Duffy,243,43,265
Alfred Portale,242,43,340
Taco Bell India,241,43,360
Antonino Cannavacciuolo,240,43,505
Chef Carmen Gonzalez,239,43,577
Seamus Mullen,238,42,467
Domino's Pizza,237,41,62
Fast Ed,236,41,109
Anne-Sophie Pic,235,41,121
"Subway, Cayman Islands",234,41,193
Franklin Barbecue,233,41,265
Santiago Giorgini,232,41,282
Crystal Jade Palace - JW Marriott Hotel Hanoi,231,41,321
Nando's,230,41,397
Chef Jet Tila,229,41,434
Jock Zonfrillo,228,41,465
Wolfgang Puck,227,41,594
Hardee's,226,41,611
Francis Mallmann,225,40,240
Christian Le Squer,224,40,333
Grotto,223,40,344
KFC,222,40,352
Chef Jennifer Carroll,221,40,484
Jumia Food,220,40,538
Dunkin' Donuts,219,39,509
Dunkin' Donuts,218,39,576
Marcus Samuelsson,217,39,603
foodpanda - 空腹熊貓,216,38,518
El Torito,215,37,389
Chart House,214,36,490
Nando's,213,35,56
Taco Bell Costa Rica,212,35,58
Zoёs Kitchen,211,35,87
Gandy Dancer,210,35,89
Cadillac Bar Kemah,209,35,90
Chef Sue Zemanick,208,35,131
Paul Qui,207,35,195
Blue Ribbon Fried Chicken,206,35,198
Gavin Kaysen,205,35,243
Acapulco,204,35,265
Hakim Chajar,203,35,289
Vicky Ratnani,202,35,338
Ben Ebbrell - Sorted Chef,201,35,383
Krispy Kreme UK,200,35,389
McDonald's,199,35,439
Chef Elizabeth Falkner,198,35,536
Johnny Prep,197,35,597
Eddie V's Prime Seafood,196,35,601
Vegan Black Metal Chef,195,35,611
KFC,194,35,615
Massimo Mele,193,35,618
Carl's Jr. NZ,192,34,89
McDonald's,191,34,208
翠華餐廳 Tsui Wah Restaurant,190,34,254
Jose Garces,189,34,265
Dick's Drive In Restaurant,188,34,373
Delverde,187,34,419
MASAの料理ABC,186,32,89
Mirko Ronzoni,185,32,159
Food Busker,184,32,183
Saransh Goila,183,32,265
Bobby Flay,182,32,300
Bruno Ménard,181,32,364
Cadillac Bar Houston,180,32,581
McDonald's,179,32,611
Red Lobster México,178,31,41
Chef Rusty Hamlin,177,31,48
foodpanda / hellofood,176,31,63
Chef Marcela Valladolid,175,31,142
Taco Bell Guatemala,174,31,169
Chili's Beirut,173,31,179
Rachel Allen,172,31,193
Ochikeron,171,31,266
Chef Francois Payard,170,31,269
Gary Mehigan,169,31,285
Chef Natale Giunta,168,31,315
Xi'an Famous Foods 西安名吃,167,31,327
Manjula's Kitchen - Indian Vegetarian Recipes,166,31,357
McDonald's,165,31,424
McDonald's,164,31,449
Jumia Food,163,31,488
Cocina familiar con Javier Romero,162,31,491
Jehangir,161,31,507
Franklin Becker,160,31,508
Leslie Gilliams,159,31,515
Big Fish Seafood Bistro,158,31,518
Chef Michelle Bernstein,157,31,524
Roblé,156,31,543
Brooke Williamson,155,31,546
Grand Concourse,154,31,595
Whataburger,153,30,126
Domino's Pizza,152,29,49
Anne Burrell,151,28,147
Domino's Pizza Türkiye,150,28,230
KFC,149,28,527
Chef Lorena Garcia,148,27,424
Nando's,147,26,230
Alex Atala,146,25,363
Taco Bell UK,145,24,230
Domino's Pizza,144,24,306
Donal Skehan,143,24,501
McDonald's,142,24,502
Emmi CAFFÈ LATTE,141,24,547
Clodagh McKenna,140,24,591
McDonald's,139,23,54
Hari Ghotra,138,23,58
Domino's Pizza,137,23,67
Fabio Viviani,136,23,128
Spago Las Vegas,135,23,157
Felicitas Pizarro,134,23,182
Lindsay Ann Bakes,133,23,227
Madison Cowan,132,23,257
Dining with Flynn,131,23,277
Tim Love,130,23,288
Morton's The Steakhouse,129,23,340
Hugh Acheson,128,23,343
McDonald's,127,23,434
Nando's,126,22,22
KFC,125,22,104
도미노피자(Dominostory),124,22,187
McDonald's,123,22,270
Matthew Kenney,122,22,420
Simon Gault,121,21,329
Buddy Valastro,120,21,334
Domino's Pizza,119,21,441
McDonald's,118,21,516
Domino's Pizza,117,20,160
Chef David Burke,116,20,238
タコベル ジャパン　Taco Bell Japan,115,20,242
SORTEDfood,114,20,324
KFC,113,20,355
Chef Ana Paula,112,20,481
Justin Warner,111,19,572
Katie Pix,110,18,265
Audra Morrice,109,17,65
Nando's,108,17,185
Daniel Humm,107,17,299
Burger King Thailand,106,17,450
Dunkin' Donuts,105,17,608
Juliana Lopez May,104,16,75
Carlos Bertolazzi,103,16,117
Amy Thielen,102,16,119
達美樂披薩,101,16,237
McDonald's,100,16,274
foodpanda,99,16,334
foodpanda,98,16,374
Chef Kiran Jethwa,97,16,400
Luna Grill,96,16,466
Burger King Nederland,95,16,516
João Alcantara,94,16,545
Guga Rocha,93,16,613
Joanna 劉韋彤,92,15,43
Crepes & Waffles,91,15,56
Scott Conant,90,15,67
Chef Kent Graham,89,15,70
Martín Berasategui,88,15,265
Geoffrey Zakarian,87,15,340
ad hoc & addendum,86,15,432
McDonald's,85,15,454
Domino's Mx,84,15,505
Gregory Gourdet,83,14,264
Hilah Cooking,82,14,326
Maru Botana,81,13,352
Anjali Pathak,80,12,310
McDonald's,79,12,548
Gandy Dancer Saloon/Oyster Bar,78,12,618
Puesto,77,11,174
Texas Roadhouse,76,11,212
Domino's Pizza,75,11,259
foodpanda,74,11,264
Chili's México,73,11,380
Relais & Châteaux,72,11,485
Olive Garden,71,10,258
Chef Daniel Boulud,70,10,393
Celler de Can Roca,69,9,15
Dan Kluger,68,9,23
David Chang,67,9,56
Emmi CAFFÈ LATTE,66,9,67
Cuoco Filippo La Mantia,65,9,89
Diego Guerrero,64,9,90
McDonald's,63,9,107
Manu Feildel,62,9,131
Éric Frechon,61,9,189
Cat Cora,60,9,206
Douglas Keane,59,9,229
Chef Jamie Gwen,58,9,248
Taco Bell Careers,57,9,249
Alex Guarnaschelli,56,9,254
River Crab Blue Water Inn,55,9,265
Chef Casey Thompson,54,9,288
Chef Cynthia Louise,53,9,289
KFC,52,9,317
KFC,51,9,340
Chef Billy Parisi,50,9,351
Yard House,49,9,434
McDonald's,48,9,446
Hard Rock Cafe Ibiza,47,9,465
Per Se,46,9,498
McDonald's,45,9,550
Kirti Bhoutika,44,9,570
Roy Choi,43,9,593
KFC,42,9,611
Matt Moran,41,8,73
Chef Hirohiko Shoda,40,8,98
Chef Mary Sue Milliken,39,8,278
McDonald's,38,8,369
Russell Jackson,37,8,434
Ravintola Salve,36,7,35
Chef Robert Irvine,35,7,265
Chef Shirley Chung,34,7,293
Lillie's Asian Cuisine,33,7,305
Sanjeev Kapoor,32,7,339
McDonald's,31,7,444
Nando's PERi-PERi,30,7,583
Bahama Breeze Island Grille,29,6,163
Nando's,28,6,429
McDonald's Vietnam,27,6,478
foodpanda,26,6,486
KFC,25,6,518
Nando's,24,5,503
Dean Fearing,23,4,254
Delverde,22,4,265
Domino's Pizza,21,4,287
Maria Loi,20,4,336
Nutella Cafe Chicago,19,3,40
NishaMadhulika,18,3,65
Ernst Knam,17,3,185
Domino's Pizza,16,3,228
Christina Tosi,15,3,299
Boston Market,14,3,352
Eckart Witzigmann,13,3,377
Dunkin' Donuts,12,3,450
Taco Bell Panamá,11,3,484
Big Fernand,10,3,608
José Andrés,9,2,182
Chili's Grill & Bar,8,2,265
Roy Yamaguchi,7,2,345
Jumia Food,6,1,265
Magnum,5,1,611
George Pagonis,4,0,58
Chef Carlo Cracco,3,0,132
Ben Sargent & Dr. Klaw,2,0,276
Pat Neely,1,0,398
Lee Anne Wong,0,0,555
Lee Anne Wong,0,0,603
,,90,473
,,90,439
,,90,434
,,90,413
,,90,389
,,90,373
,,90,372
,,90,355
,,90,351
,,90,350
,,90,342
,,90,340
,,90,324
,,90,317
,,90,289
,,90,275
,,90,265
,,90,242
,,90,238
,,90,229
,,90,227
,,90,217
,,90,208
,,90,206
,,90,198
,,90,195
,,90,182
,,90,157
,,90,151
,,90,131
,,90,130
,,90,116
,,91,563
,,91,253
,,92,186
,,93,614
,,93,567
,,93,146
,,93,103
,,93,94
,,94,103
,,95,523
,,95,492
,,96,537
,,96,379
,,96,211
,,97,265
,,98,605
,,98,471
,,98,295
,,98,216
,,98,99
,,98,74
,,99,431
,,99,142
,,99,108
,,100,518
,,101,545
,,101,374
,,101,329
,,101,311
,,101,216
,,101,152
,,101,124
,,102,554
,,103,567
,,104,563
,,104,469
,,104,290
,,104,253
,,104,187
,,105,548
,,105,521
,,106,583
,,106,444
,,106,305
,,107,550
,,107,505
,,107,498
,,107,416
,,107,383
,,107,340
,,107,317
,,107,291
,,107,265
,,108,547
,,108,527
,,108,230
,,108,147
,,109,320
,,109,181
,,109,169
,,110,578
,,111,451
,,111,389
,,111,265
,,111,229
,,112,498
,,112,265
,,113,559
,,113,555
,,113,522
,,113,494
,,113,398
,,113,358
,,113,319
,,113,276
,,113,222
,,114,397
,,114,389
,,114,201
,,114,200
,,114,184
,,114,143
,,114,138
,,114,134
,,115,145
,,116,616
,,116,611
,,116,593
,,116,558
,,116,536
,,116,446
,,116,434
,,116,372
,,116,366
,,116,342
,,116,275
,,116,265
,,116,248
,,116,243
,,116,198
,,116,182
,,116,151
,,117,613
,,117,545
,,117,516
,,117,466
,,117,334
,,117,119
,,118,518
,,118,507
,,119,613
,,119,545
,,119,334
,,120,375
,,120,265
,,121,553
,,121,433
,,121,265
,,121,227
,,123,524
,,123,518
,,123,491
,,123,347
,,123,292
,,123,179
,,124,613
,,124,545
,,124,374
,,125,565
,,125,423
,,125,308
,,127,524
,,127,518
,,127,347
,,128,576
,,128,570
,,128,465
,,128,446
,,128,404
,,128,373
,,128,289
,,128,265
,,128,254
,,128,208
,,128,135
,,128,131
,,130,597
,,130,432
,,130,355
,,130,340
,,130,288
,,130,217
,,130,151
,,130,136
,,131,601
,,131,597
,,131,510
,,131,505
,,131,351
,,131,343
,,131,340
,,131,325
,,131,288
,,131,265
,,131,248
,,131,238
,,131,229
,,131,217
,,131,182
,,131,157
,,131,151
,,131,122
,,132,198
,,133,407
,,133,397
,,134,563
,,134,456
,,134,251
,,134,184
,,134,143
,,135,544
,,135,458
,,135,446
,,135,386
,,135,360
,,135,359
,,135,350
,,135,321
,,135,317
,,135,281
,,135,227
,,136,611
,,136,576
,,136,568
,,136,558
,,136,536
,,136,439
,,136,422
,,136,389
,,136,265
,,136,229
,,136,208
,,136,155
,,137,441
,,137,329
,,137,311
,,137,117
,,138,418
,,139,518
,,140,581
,,140,265
,,141,574
,,141,461
,,141,280
,,141,51
,,142,596
,,142,524
,,142,518
,,142,491
,,142,164
,,143,581
,,143,580
,,143,456
,,143,407
,,143,397
,,143,265
,,143,184
,,143,182
,,143,172
,,143,151
,,144,545
,,144,441
,,144,374
,,144,311
,,144,150
,,145,525
,,145,380
,,145,264
,,145,241
,,146,567
,,146,505
,,146,498
,,146,354
,,146,253
,,146,193
,,147,591
,,147,547
,,147,527
,,147,502
,,147,501
,,147,438
,,147,279
,,147,230
,,147,126
,,148,563
,,148,498
,,148,265
,,148,253
,,149,555
,,149,522
,,149,494
,,149,319
,,149,276
,,150,613
,,150,545
,,150,374
,,150,329
,,150,311
,,151,611
,,151,603
,,151,601
,,151,597
,,151,580
,,151,389
,,151,375
,,151,345
,,151,289
,,151,265
,,152,545
,,152,441
,,152,382
,,152,374
,,152,329
,,152,311
,,152,137
,,153,412
,,154,533
,,154,452
,,154,437
,,154,331
,,154,252
,,154,223
,,154,214
,,154,210
,,154,158
,,154,129
,,155,576
,,155,570
,,155,293
,,155,265
,,155,254
,,156,483
,,157,604
,,157,603
,,157,585
,,157,510
,,157,289
,,157,288
,,157,257
,,158,452
,,158,437
,,158,252
,,158,223
,,158,214
,,158,210
,,159,458
,,159,432
,,159,397
,,159,375
,,159,360
,,159,265
,,160,383
,,161,265
,,162,610
,,162,498
,,162,323
,,163,561
,,163,535
,,163,486
,,163,478
,,164,595
,,164,546
,,164,543
,,164,524
,,164,518
,,164,515
,,164,508
,,164,507
,,164,491
,,164,488
,,164,337
,,164,327
,,164,315
,,164,307
,,164,256
,,164,179
,,164,176
,,165,596
,,165,524
,,165,518
,,165,179
,,165,165
,,166,611
,,166,418
,,166,265
,,166,183
,,166,182
,,167,601
,,168,299
,,169,611
,,169,397
,,169,282
,,169,265
,,169,181
,,170,383
,,170,340
,,171,459
,,171,406
,,171,202
,,172,611
,,172,599
,,172,581
,,172,265
,,173,369
,,174,380
,,174,318
,,174,264
,,174,259
,,174,212
,,175,611
,,175,576
,,176,497
,,176,478
,,176,427
,,176,362
,,176,301
,,176,220
,,176,216
,,177,510
,,177,389
,,177,350
,,178,539
,,178,495
,,179,605
,,179,596
,,179,524
,,179,518
,,179,491
,,179,347
,,179,292
,,180,520
,,180,496
,,180,331
,,180,209
,,181,552
,,181,476
,,181,363
,,181,352
,,181,340
,,181,320
,,181,258
,,181,248
,,181,235
,,182,611
,,182,603
,,182,473
,,182,463
,,182,456
,,182,451
,,182,439
,,182,389
,,182,375
,,182,350
,,182,345
,,182,317
,,182,300
,,182,289
,,182,265
,,182,246
,,182,229
,,182,198
,,182,195
,,183,459
,,183,265
,,183,202
,,184,456
,,184,397
,,184,251
,,185,538
,,185,432
,,185,377
,,185,356
,,185,333
,,185,240
,,186,459
,,186,414
,,186,202
,,187,514
,,187,420
,,187,270
,,187,217
,,189,340
,,189,288
,,190,393
,,191,524
,,191,518
,,191,45
,,192,559
,,192,371
,,193,449
,,193,433
,,193,285
,,193,282
,,193,273
,,194,619
,,194,398
,,194,226
,,195,597
,,195,389
,,195,350
,,195,340
,,195,257
,,195,227
,,195,217
,,195,175
,,195,151
,,198,603
,,198,601
,,198,597
,,198,580
,,198,577
,,198,558
,,198,505
,,198,432
,,198,372
,,198,355
,,198,350
,,198,340
,,198,317
,,198,265
,,198,245
,,198,238
,,198,229
,,198,217
,,198,102
,,199,566
,,199,518
,,199,316
,,202,555
,,202,426
,,202,343
,,202,340
,,202,288
,,203,435
,,203,345
,,204,540
,,204,215
,,206,473
,,207,372
,,208,601
,,208,455
,,208,446
,,208,343
,,208,340
,,208,288
,,209,33
,,210,452
,,210,437
,,210,252
,,210,223
,,212,380
,,212,264
,,212,259
,,213,502
,,214,534
,,214,533
,,214,223
,,215,540
,,215,405
,,215,278
,,216,618
,,216,402
,,217,617
,,217,611
,,217,603
,,217,601
,,217,597
,,217,589
,,217,585
,,217,580
,,217,577
,,217,576
,,217,510
,,217,473
,,217,439
,,217,413
,,217,404
,,217,350
,,217,317
,,217,289
,,217,265
,,217,245
,,217,229
,,217,102
,,218,521
,,219,548
,,220,535
,,220,518
,,220,478
,,220,441
,,220,427
,,221,265
,,222,522
,,222,494
,,222,365
,,223,542
,,223,452
,,223,252
,,224,569
,,224,552
,,224,470
,,224,443
,,224,388
,,224,376
,,224,363
,,224,352
,,224,262
,,224,258
,,224,248
,,224,235
,,225,584
,,225,563
,,225,498
,,225,493
,,225,469
,,225,290
,,225,253
,,226,431
,,226,371
,,227,577
,,227,453
,,227,442
,,227,436
,,227,370
,,227,352
,,227,265
,,227,102
,,228,392
,,229,597
,,229,576
,,229,554
,,229,549
,,229,509
,,229,505
,,229,446
,,229,440
,,229,436
,,229,396
,,229,389
,,229,361
,,229,340
,,229,317
,,229,289
,,229,265
,,229,151
,,230,591
,,230,547
,,230,527
,,230,502
,,230,501
,,230,438
,,230,306
,,230,279
,,231,425
,,232,563
,,232,498
,,232,253
,,232,146
,,232,134
,,233,265
,,234,618
,,235,578
,,235,552
,,235,472
,,235,368
,,235,363
,,235,354
,,235,352
,,235,258
,,236,282
,,237,613
,,237,545
,,237,516
,,237,400
,,237,374
,,237,334
,,237,274
,,237,119
,,237,117
,,238,616
,,238,611
,,238,603
,,238,550
,,238,449
,,238,325
,,238,289
,,238,265
,,239,616
,,240,608
,,240,563
,,240,484
,,240,450
,,240,377
,,240,299
,,241,264
,,242,611
,,242,498
,,242,434
,,242,323
,,242,265
,,242,248
,,243,521
,,243,265
,,244,472
,,244,368
,,244,352
,,244,235
,,244,224
,,245,616
,,245,611
,,245,593
,,245,580
,,245,509
,,245,473
,,245,416
,,245,340
,,245,322
,,245,291
,,245,265
,,246,265
,,247,601
,,248,611
,,248,599
,,248,550
,,248,505
,,248,499
,,248,498
,,248,352
,,249,340
,,249,288
,,250,440
,,250,39
,,251,560
,,251,456
,,252,452
,,252,437
,,253,563
,,253,505
,,253,498
,,253,469
,,253,354
,,253,323
,,254,570
,,254,558
,,254,505
,,254,465
,,254,340
,,254,288
,,254,265
,,255,518
,,256,518
,,257,616
,,257,265
,,258,476
,,258,403
,,258,363
,,259,264
,,260,458
,,260,432
,,260,386
,,260,294
,,261,451
,,261,436
,,261,397
,,261,265
,,262,470
,,262,368
,,263,613
,,263,311
,,264,525
,,264,380
